month;cpv_division;division_name;tender_count
2025-03;9;Produkty naftowe, paliwa i energia;193
2025-03;48;Pakiety oprogramowania;181
2025-03;77;Usługi rolnicze i leśne;175
2025-03;85;Usługi zdrowotne i społeczne;157
2025-03;38;Sprzęt laboratoryjny i naukowy;138
2025-03;44;Materiały budowlane;138
2025-03;66;Usługi finansowe i ubezpieczeniowe;117
2025-03;72;Usługi informatyczne;105
2025-03;32;Sprzęt elektroniczny i telekomunikacyjny;93
2025-03;14;Górnictwo i minerały;88
2025-03;60;Usługi transportu drogowego;86
2025-03;24;Produkty chemiczne;85
2025-03;31;Sprzęt elektryczny;73
2025-03;18;Odzież i obuwie;71
2025-03;42;Maszyny przemysłowe;67
2025-03;3;Produkty rolne, łowieckie i rybne;63
2025-03;22;Drukowane materiały i produkty poligraficzne;53
2025-03;98;Pozostałe usługi komunalne i osobiste;49
2025-03;16;Maszyny rolnicze;42
2025-03;64;Usługi pocztowe i telekomunikacyjne;40
2025-03;92;Usługi rekreacyjne i kulturalne;36
2025-03;63;Usługi spedycji i logistyki;35
2025-03;43;Maszyny górnicze;33
2025-03;35;Sprzęt bezpieczeństwa i ochrony;30
2025-03;70;Usługi w zakresie nieruchomości;23
2025-03;75;Usługi administracji publicznej;23
2025-03;37;Sprzęt sportowy i rekreacyjny;19
2025-03;19;Wyroby skórzane i tekstylne;17
2025-03;73;Usługi badawczo-rozwojowe;9
2025-03;51;Usługi instalacyjne;2
2025-03;65;Usługi komunalne (gaz, woda, energia);2
2025-03;41;Woda i usługi wodne;1
2025-04;45;Roboty budowlane;3300
2025-04;71;Usługi architektoniczne i inżynieryjne;778
2025-04;33;Sprzęt medyczny i farmaceutyczny;722
2025-04;30;Sprzęt komputerowy i biurowy;320
2025-04;39;Meble i wyposażenie wnętrz;320
2025-04;34;Sprzęt transportowy i pojazdy;309
2025-04;79;Usługi biznesowe i doradcze;299
2025-04;80;Usługi edukacyjne;272
2025-04;90;Usługi środowiskowe i sanitarne;245
2025-04;55;Usługi hotelarskie i restauracyjne;228
2025-04;15;Artykuły spożywcze i napoje;191
2025-04;50;Usługi napraw i konserwacji;191
2025-04;48;Pakiety oprogramowania;176
